Value:	Frequency:	Relative:
[1] 	954 		0.0954
[2] 	942 		0.0942
[3] 	970 		0.0970
[4] 	965 		0.0965
[5] 	994 		0.0994
[6] 	975 		0.0975
[7] 	964 		0.0964
[8] 	989 		0.0989
[9] 	984 		0.0984
[10] 	978 		0.0978
Processed 10000 Values in 0.009272 (s).
Value:	Frequency:	Relative:
[1] 	897 		0.0897
[2] 	880 		0.0880
[3] 	918 		0.0918
[4] 	901 		0.0901
[5] 	914 		0.0914
[6] 	886 		0.0886
[7] 	881 		0.0881
[8] 	884 		0.0884
[9] 	913 		0.0913
[10] 	858 		0.0858
Processed 10000 Values in 0.009202 (s).
Value:	Frequency:	Relative:
[1] 	880 		0.0880
[2] 	922 		0.0922
[3] 	863 		0.0863
[4] 	847 		0.0847
[5] 	850 		0.0850
[6] 	868 		0.0868
[7] 	842 		0.0842
[8] 	855 		0.0855
[9] 	891 		0.0891
[10] 	880 		0.0880
Processed 10000 Values in 0.009200 (s).
Value:	Frequency:	Relative:
[1] 	1012 		0.1012
[2] 	995 		0.0995
[3] 	996 		0.0996
[4] 	1011 		0.1011
[5] 	1009 		0.1009
[6] 	1011 		0.1011
[7] 	979 		0.0979
[8] 	994 		0.0994
[9] 	-726034187 		-72603.4141
[10] 	12007 		1.2007
Processed 10000 Values in 0.011354 (s).
Value:	Frequency:	Relative:
[1] 	1042 		0.1042
[2] 	991 		0.0991
[3] 	1033 		0.1033
[4] 	917 		0.0917
[5] 	1015 		0.1015
[6] 	1042 		0.1042
[7] 	1012 		0.1012
[8] 	991 		0.0991
[9] 	964 		0.0964
[10] 	993 		0.0993
Processed 10000 Values in 0.011211 (s).
Value:	Frequency:	Relative:
[1] 	806 		0.0806
[2] 	779 		0.0779
[3] 	779 		0.0779
[4] 	781 		0.0781
[5] 	815 		0.0815
[6] 	757 		0.0757
[7] 	747 		0.0747
[8] 	783 		0.0783
[9] 	997828642 		99782.8672
[10] 	11750 		1.1750
Processed 10000 Values in 0.005213 (s).
Value:	Frequency:	Relative:
[1] 	661 		0.0661
[2] 	671 		0.0671
[3] 	668 		0.0668
[4] 	612 		0.0612
[5] 	622 		0.0622
[6] 	621 		0.0621
[7] 	652 		0.0652
[8] 	661 		0.0661
[9] 	658 		0.0658
[10] 	634 		0.0634
Processed 10000 Values in 0.009220 (s).
Value:	Frequency:	Relative:
[1] 	931 		0.0931
[2] 	910 		0.0910
[3] 	896 		0.0896
[4] 	876 		0.0876
[5] 	911 		0.0911
[6] 	894 		0.0894
[7] 	930 		0.0930
[8] 	904 		0.0904
[9] 	895 		0.0895
[10] 	884 		0.0884
Processed 10000 Values in 0.011073 (s).
Value:	Frequency:	Relative:
[1] 	890 		0.0890
[2] 	889 		0.0889
[3] 	864 		0.0864
[4] 	856 		0.0856
[5] 	836 		0.0836
[6] 	874 		0.0874
[7] 	914 		0.0914
[8] 	891 		0.0891
[9] 	-1369388940 		-136938.8906
[10] 	12071 		1.2071
Processed 10000 Values in 0.008532 (s).
Value:	Frequency:	Relative:
[1] 	996 		0.0996
[2] 	987 		0.0987
[3] 	972 		0.0972
[4] 	1004 		0.1004
[5] 	947 		0.0947
[6] 	1017 		0.1017
[7] 	957 		0.0957
[8] 	988 		0.0988
[9] 	1016 		0.1016
[10] 	1000 		0.1000
Processed 10000 Values in 0.014122 (s).
Value:	Frequency:	Relative:
[1] 	962 		0.0962
[2] 	947 		0.0947
[3] 	920 		0.0920
[4] 	925 		0.0925
[5] 	879 		0.0879
[6] 	896 		0.0896
[7] 	906 		0.0906
[8] 	939 		0.0939
[9] 	916 		0.0916
[10] 	916 		0.0916
Processed 10000 Values in 0.015236 (s).
Value:	Frequency:	Relative:
[1] 	895 		0.0895
[2] 	942 		0.0942
[3] 	919 		0.0919
[4] 	927 		0.0927
[5] 	924 		0.0924
[6] 	903 		0.0903
[7] 	934 		0.0934
[8] 	913 		0.0913
[9] 	1212086406 		121208.6406
[10] 	12012 		1.2012
Processed 10000 Values in 0.010039 (s).
Value:	Frequency:	Relative:
[1] 	975 		0.0975
[2] 	981 		0.0981
[3] 	970 		0.0970
[4] 	984 		0.0984
[5] 	951 		0.0951
[6] 	945 		0.0945
[7] 	979 		0.0979
[8] 	939 		0.0939
[9] 	969 		0.0969
[10] 	912 		0.0912
Processed 10000 Values in 0.021913 (s).
Value:	Frequency:	Relative:
[1] 	943 		0.0943
[2] 	939 		0.0939
[3] 	890 		0.0890
[4] 	927 		0.0927
[5] 	1023 		0.1023
[6] 	943 		0.0943
[7] 	909 		0.0909
[8] 	957 		0.0957
[9] 	953 		0.0953
[10] 	989 		0.0989
Processed 10000 Values in 0.010324 (s).
