Value:	Frequency:	Relative:
[1] 	56 		0.1120
[2] 	52 		0.1040
[3] 	48 		0.0960
[4] 	51 		0.1020
[5] 	52 		0.1040
[6] 	47 		0.0940
[7] 	47 		0.0940
[8] 	52 		0.1040
[9] 	1283896652 		2567793.5000
[10] 	11209 		22.4180
Processed 500 Values in 0.001668 (s).
Value:	Frequency:	Relative:
[1] 	49 		0.0980
[2] 	39 		0.0780
[3] 	60 		0.1200
[4] 	47 		0.0940
[5] 	52 		0.1040
[6] 	68 		0.1360
[7] 	38 		0.0760
[8] 	57 		0.1140
[9] 	716744007 		1433488.0000
[10] 	11206 		22.4120
Processed 500 Values in 0.000997 (s).
Value:	Frequency:	Relative:
[1] 	47 		0.0940
[2] 	49 		0.0980
[3] 	51 		0.1020
[4] 	42 		0.0840
[5] 	61 		0.1220
[6] 	43 		0.0860
[7] 	45 		0.0900
[8] 	53 		0.1060
[9] 	51 		0.1020
[10] 	58 		0.1160
Processed 500 Values in 0.001318 (s).
Value:	Frequency:	Relative:
[1] 	42 		0.0840
[2] 	49 		0.0980
[3] 	42 		0.0840
[4] 	42 		0.0840
[5] 	44 		0.0880
[6] 	57 		0.1140
[7] 	64 		0.1280
[8] 	48 		0.0960
[9] 	62 		0.1240
[10] 	50 		0.1000
Processed 500 Values in 0.001078 (s).
Value:	Frequency:	Relative:
[1] 	61 		0.1220
[2] 	46 		0.0920
[3] 	58 		0.1160
[4] 	45 		0.0900
[5] 	44 		0.0880
[6] 	44 		0.0880
[7] 	43 		0.0860
[8] 	53 		0.1060
[9] 	-904546993 		-1809094.0000
[10] 	11208 		22.4160
Processed 500 Values in 0.001089 (s).
Value:	Frequency:	Relative:
[1] 	57 		0.1140
[2] 	37 		0.0740
[3] 	47 		0.0940
[4] 	60 		0.1200
[5] 	44 		0.0880
[6] 	48 		0.0960
[7] 	55 		0.1100
[8] 	54 		0.1080
[9] 	11355463 		22710.9258
[10] 	11061 		22.1220
Processed 500 Values in 0.001252 (s).
Value:	Frequency:	Relative:
[1] 	49 		0.0980
[2] 	45 		0.0900
[3] 	57 		0.1140
[4] 	52 		0.1040
[5] 	43 		0.0860
[6] 	47 		0.0940
[7] 	50 		0.1000
[8] 	51 		0.1020
[9] 	1058465103 		2116930.2500
[10] 	11096 		22.1920
Processed 500 Values in 0.000971 (s).
Value:	Frequency:	Relative:
[1] 	54 		0.1080
[2] 	47 		0.0940
[3] 	45 		0.0900
[4] 	64 		0.1280
[5] 	43 		0.0860
[6] 	49 		0.0980
[7] 	53 		0.1060
[8] 	57 		0.1140
[9] 	44 		0.0880
[10] 	44 		0.0880
Processed 500 Values in 0.001248 (s).
Value:	Frequency:	Relative:
[1] 	43 		0.0860
[2] 	47 		0.0940
[3] 	54 		0.1080
[4] 	47 		0.0940
[5] 	63 		0.1260
[6] 	57 		0.1140
[7] 	57 		0.1140
[8] 	51 		0.1020
[9] 	514639173 		1029278.3125
[10] 	11011 		22.0220
Processed 500 Values in 0.001291 (s).
Value:	Frequency:	Relative:
[1] 	44 		0.0880
[2] 	59 		0.1180
[3] 	46 		0.0920
[4] 	52 		0.1040
[5] 	53 		0.1060
[6] 	50 		0.1000
[7] 	45 		0.0900
[8] 	56 		0.1120
[9] 	43 		0.0860
[10] 	52 		0.1040
Processed 500 Values in 0.001171 (s).
Value:	Frequency:	Relative:
[1] 	48 		0.0960
[2] 	58 		0.1160
[3] 	56 		0.1120
[4] 	52 		0.1040
[5] 	47 		0.0940
[6] 	49 		0.0980
[7] 	56 		0.1120
[8] 	43 		0.0860
[9] 	43 		0.0860
[10] 	48 		0.0960
Processed 500 Values in 0.000842 (s).
Value:	Frequency:	Relative:
[1] 	60 		0.1200
[2] 	49 		0.0980
[3] 	55 		0.1100
[4] 	49 		0.0980
[5] 	49 		0.0980
[6] 	41 		0.0820
[7] 	54 		0.1080
[8] 	42 		0.0840
[9] 	63 		0.1260
[10] 	38 		0.0760
Processed 500 Values in 0.000996 (s).
Value:	Frequency:	Relative:
[1] 	47 		0.0940
[2] 	53 		0.1060
[3] 	56 		0.1120
[4] 	47 		0.0940
[5] 	45 		0.0900
[6] 	47 		0.0940
[7] 	56 		0.1120
[8] 	51 		0.1020
[9] 	59 		0.1180
[10] 	39 		0.0780
Processed 500 Values in 0.001193 (s).
Value:	Frequency:	Relative:
[1] 	53 		0.1060
[2] 	51 		0.1020
[3] 	51 		0.1020
[4] 	52 		0.1040
[5] 	52 		0.1040
[6] 	49 		0.0980
[7] 	51 		0.1020
[8] 	48 		0.0960
[9] 	44 		0.0880
[10] 	49 		0.0980
Processed 500 Values in 0.001193 (s).
